magmi:delete,sku
1,BRS-CF725.01
1,BRS-CF725.02
1,BRS-CF726
1,BRS-CF726.01
1,BRS-CF726.02
1,BRS-CF727CHROME
1,BRS-CF728ALU
1,BRS-CF729ALU
1,BRS-CF8055/2BK/GD
1,BRS-CF816/4FRENCHWH
1,BRS-CF8410SATIN
1,BRS-CF8410SATIN.01
1,BRS-CF8410SATIN.02
1,BRS-CH001
1,BRS-CH001.01
1,BRS-CH001.02
1,BRS-CH003
1,BRS-CH003.01
1,BRS-CH003.02
1,BRS-CH004
1,BRS-CH004.01
1,BRS-CH004.02
1,BRS-CH005
1,BRS-CH005.01
1,BRS-CH005.02
1,BRS-CH052/3ANTIQUE
1,BRS-CH052/5ANTIQUE
1,BRS-CH053/6RUSTIC
1,BRS-CH065/3RUST
1,BRS-CH065/5RUST
1,BRS-CH065/8RUST
1,BRS-CH067/6RUST
1,BRS-CH075/3BLACK
1,BRS-CH075/6BLACK
1,BRS-CH075/8BLACK
1,BRS-CH090/6+3BLACK
1,BRS-CH096/6BK/GD
1,BRS-CH096/9BK/GD
1,BRS-CH097/20BK/GD
1,BRS-CH097/5BK/GD
1,BRS-CH100/10BLACK
1,BRS-CH1032/3BLACK
1,BRS-CH1032/5BLACK
1,BRS-CH108/5RST
1,BRS-CH130/6BLACK
1,BRS-CH1334/6ANT/BR
1,BRS-CH1334/9ANT/BR
1,BRS-CH1458/6OLDGOLD
1,BRS-CH1458/6+3OLDGOLD
1,BRS-CH1467/5OLD/GD
1,BRS-CH1470/3OLD/GD
1,BRS-CH1470/5OLD/GD
1,BRS-CH1478/21OLDGOLD
1,BRS-CH1478/5OLDGOLD
1,BRS-CH1478/8+4OLDGOLD
1,BRS-CH1538/2SATINCHROM
1,BRS-CH1539/2OLDGOLD
1,BRS-CH164/3BK/BROWN
1,BRS-CH164/5BK/BROWN
1,BRS-CH167/5SATIN
1,BRS-CH168/5SATIN
1,BRS-CH169/3BLACK/BROWN
1,BRS-CH169/5BLACK/BROWN
1,BRS-CH178/3CHROME
1,BRS-CH178/5CHROME
1,BRS-CH179/3SATIN
1,BRS-CH179/5SATIN
1,BRS-CH187/6BROWN
1,BRS-CH188/4BROWN
1,BRS-CH192/6CHROME
1,BRS-CH2027/5OLDGO
1,BRS-CH203/8CHROME
1,BRS-CH222/3SATIN
1,BRS-CH222/5SATIN
1,BRS-CH231/3CHROME
1,BRS-CH231/5CHROME
1,BRS-CH233/10CRYSTAL
1,BRS-CH234/11CRYSTAL
1,BRS-CH235/10CRYSTAL
1,BRS-CH236/6CRYSTAL
1,BRS-CH237LED
1,BRS-CH238/3MATTBLACK
1,BRS-CH239/5SATIN
1,BRS-CH240/12CHROME
1,BRS-CH241/5RUST
1,BRS-CH242/7RUST
1,BRS-CH243LED
1,BRS-CH244/6CHROME
1,BRS-CH245/6BLACK
1,BRS-CH246/4BLACK
1,BRS-CH3050/12CRYSTAL
1,BRS-CH3050/24CRYSTAL
1,BRS-CH3052/12CRYSTAL
1,BRS-CH3052/6CRYSTAL
1,BRS-CH3054/6CRYSTAL
1,BRS-CH3055/6BLACK
1,BRS-CH3056/6WHITE
1,BRS-CH3063/6BK/GOLD
1,BRS-CH3068/3FRENCHWHIT
